Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,10-08-2018 0:00,0,7.8,83,2,298,77,25,200,0.96,38.1,2.04
JCB,10-08-2018 1:00,0,7.7,82,0,12,75.5,25,200,0.79,38.1,1.4
JCB,10-08-2018 2:00,0,6.3,89,0,281,74.1,25,200,0.73,38.1,1.12
JCB,10-08-2018 3:00,0,5.5,90,4,133,72.7,25,200,0.84,38.1,1.61
JCB,10-08-2018 4:00,0,5.5,91,2,105,71.4,25,200,0.72,38.1,1.07
JCB,10-08-2018 5:00,0,7.3,82,1,113,70,25,200,0.66,38.1,0.91
JCB,10-08-2018 6:00,0,6.7,85,4,288,68.7,25,200,0.73,38.1,1.14
JCB,10-08-2018 7:00,0,11.2,77,2,12,69.8,25,200,0.69,38.1,0.96
JCB,10-08-2018 8:00,0,18.3,59,2,84,71.9,25,200,0.74,38.1,1.16
JCB,10-08-2018 9:00,0,25.3,35,33,79,76.9,25,200,4.56,38.1,10.56
JCB,10-08-2018 10:00,0,28.6,18,29,300,80.3,25,200,5.06,38.1,11.5
JCB,10-08-2018 11:00,0,30,15,15,266,83.8,25,200,3.82,38.1,9.09
JCB,10-08-2018 12:00,0,31.5,13,17,216,88,25,200,7.58,38.1,15.77
JCB,10-08-2018 13:00,0,32.3,12,21,201,94.69,31.07,208.82,23.9,45.29,38.32
JCB,10-08-2018 14:00,0,32.9,13,25,211,95.29,31.07,208.82,31.74,45.29,45.98
JCB,10-08-2018 15:00,0,32.9,12,27,196,95.79,31.07,208.82,37.57,45.29,51.13
JCB,10-08-2018 16:00,0,32.9,10,37,257,96.29,31.07,208.82,66.54,45.29,72.46
JCB,10-08-2018 17:00,0,32.2,14,43,233,96.79,31.07,208.82,93.55,45.29,88.55
JCB,10-08-2018 18:00,0,30.9,12,45,242,96.19,31.07,208.82,91.7,45.29,87.53
JCB,10-08-2018 19:00,0,30.2,14,46,260,95.69,31.07,208.82,87.93,45.29,85.41
JCB,10-08-2018 20:00,0,24.9,25,18,178,94.29,31.07,208.82,19.44,45.29,33.46
JCB,10-08-2018 21:00,0,16.2,54,15,270,92.99,31.07,208.82,13.95,45.29,26.73
JCB,10-08-2018 22:00,0,12.6,61,36,296,91.66,31.07,208.82,33.31,45.29,47.41
JCB,10-08-2018 23:00,0,12,63,24,282,90.42,31.07,208.82,15.27,45.29,28.44
